RestaurantID,ItemName,Description,Price,Category,Availability,ItemType
1,Dal Makhani,Slow-cooked black lentils with butter and cream.,156,North Indian,True,Vegan
1,Paneer Tikka,Marinated paneer grilled with spices and served with mint chutney.,154,North Indian,True,Vegan
2,Uttapam,Thick rice pancake topped with tomatoes and onions.,115,South Indian,True,Veg
2,Lassi,"Yogurt-based drink, sweet or salty.",190,Beverages,True,Non-Veg
2,Coconut Water,Fresh coconut water served chilled.,153,Beverages,True,Vegan
2,Cold Coffee,Iced coffee blended with milk and sugar.,113,Cafe,True,Veg
2,Fresh Lime Soda,Refreshing soda with lime juice and mint.,220,Beverages,True,Veg
3,Dal Makhani,Slow-cooked black lentils with butter and cream.,213,North Indian,True,Gluten-Free
4,Spaghetti Carbonara,"Pasta with egg, cheese, pancetta, and pepper.",480,Italian,True,Vegan
5,Tiramisu,Coffee-flavored Italian dessert.,418,Italian,True,Non-Veg
5,Tiramisu,Coffee-flavored Italian dessert.,482,Italian,True,Gluten-Free
5,Stroganoff,Tender cooked in a creamy sauce.,561,Continental,True,Non-Veg
